Unnamed: 0,Название СТЕ,ОКПД-2
1078,столжурнальныйbeautystyle3(венге/стеклобежевое),31.09.12.132
1079,"диванэволюшн3-хместный,630х740х2010мм,экокожа,черный",31.09.12.110
1080,"диванэволюшнмодуль1-местный,экокожа,черный",31.09.12.110
1081,диванмодульныйнордр3бежевый,31.09.12.110
1082,"диванбруклин3-местный,экокожа,черный",31.09.12.110
1083,"креслоалекто,экокожа,графит",31.01.12.160
1084,"столжурнальныйколизей7стеклянный(венге,1000x600x500мм)",31.09.12.132
1085,"столжурнальныйтриада-11д(выбеленныйдуб/черный,730х730х425мм)",31.09.12.132
1086,диванпрямойtalohappy3-местный,31.09.12.110
1087,"столжурнальныйтриада-11см(стекломатовое/металлик,730х730х425мм)",31.09.12.132
1088,"диванбоссо3-местный,экокожа,бежевый840х860х200мм",31.09.12.110
1089,"столжурнальныйколизей6стеклянныйсполкой(венге,1000x600x500мм)",31.09.12.132
1090,"диваналекто3-местный,экокожа,графит700х830х1770мм",31.09.12.110
1091,оказаниеуслугподоочисткеводыспомощьюаппаратовпоочисткеводы,33.12.19.000
1092,пакетныйламинаторbulrospda3-330td,28.23.23.000
1093,переплетчикfellowesgalaxy-e500,22.19.72.000
1094,"уничтожительдокументов(шредер),officekits75",28.23.23.000
1095,переплетнаямашинадляпластиковыхпружинbulrosa20,28.23.23.000
1096,"уничтожительдокументовhsmshredstarx13,4,0х37white",28.23.23.000
1097,пакетныйламинаторbulrospda4-230cn,28.23.23.000
1098,переплетчикofficekitb2115l,28.23.23.000
1099,переплетчикнапластиковуюпружинуofficekitb2125,22.29.25.000
1100,оказаниеобразовательныхуслугпокурсу«перваяпомощь»,85.42.19.900
1101,"обучениепопрограмме""новыенормативно-правовыеакты,утвержденныев2021годуивступающиевсилус1марта2022года,втомчислеизменения,внесенныевразделх«охранатрудатрудовогокодексарф""",85.42.19.900
1102,нормыиправилаработывэлектроустановкахпотребителейэнергии(до1000в),85.31.11.000
1103,"обучениепопрограмме""пожарнаябезопасностьдляруководителейорганизаций,лиц,назначенныхруководителеморганизацииответственнымизаобеспечениепожарнойбезопасности,втомчислевобособленныхструктурныхподразделенияхорганизации""",85.42.19.900
1104,"обучениепопрограмме""пожарнаябезопасностьдлялиц,накоторыхвозложенатрудоваяфункцияпопроведениюпротивопожарногоинструктажа""",85.31.11.000
1105,"курсыповышенияквалификации""нормыиправилаработывэлектроустановкахпотребителейэнергии""",85.42.19.900
1106,"обучениепопрограмме""охранатруда""",85.41.93.000
1107,"обучениепопрограмме""нормыиправилаработывэлектроустановкахпотребителейэнергии""",85.31.11.000
1108,"повышениеквалификациипопрограмме""digital-трансформация:каксделатьбизнесцифровым""",85.42.19.900
1109,услугипохранениюоборудованияспоследующейутилизацией,38.12.23.000
1110,"степлер№10brauberg«extra»,до20листов,антистеплер,черно-красный",25.99.22.130
1111,"разделителилистов(полосы230х105мм)картонные,комплект100штук,желтые,brauberg",22.29.25.000
1112,"тубусстаммнаремне64362(длина63-110см,диаметр9см,черный)",13.20.20.114
1113,"скобыдлястеплераbrauberg,№23/13,1000штук,до80листов",25.99.23.000
1114,"обложкидляпереплетаofficekitпластиковые,красные,а4,200мкм,100шт/упак",22.29.25.000
1115,"точилкаbrauberg«drumdual»,2отверстиядлячернографитныхкарандашей(втомчислеутолщенных),сконтейнером,228436",25.71.13.110
1116,чистящаяжидкость-спрейbraubergдлямаркерныхдосок,32.99.53.130
1117,краскаштемпельнаяattacheкрасная50г,20.59.30.190
1118,"маркервыделительтекстаcc2118sзеленый1-3,9мм.",32.99.12.120
1119,"разделителилистов(полосы230*105мм)картонные,комплект100штук,зеленые,brauberg,223971",22.29.25.000
1120,"ручка-роллерuni-ball(япония)""visionelite"",корпуссерый,узел0,8мм,линия0,6мм,синяя",32.50.13.110
1121,"ластиксеро-белый,натуральныйкаучук,brauberg«ultra»,41х14х8мм,228703",22.19.73.120
1122,"корректирующаяжидкостьstaff,20мл,скисточкой,наводнойоснове",20.59.59.900
1123,"пружиныдляпереплетаofficekitпластиковые8мм,красный,100шт/уп",22.29.25.000
1124,"портфельпластиковыйbraubergпортфолио,а3,470х380х130мм,3отделения,намолнии,черный",22.29.25.000
1125,"клейсиликатныйworkmate,110гр,сдозатором",20.52.10.190
1126,"портфельпластиковыйbrauberg,премьер,а4,390х315х120мм,3отделения,намолнии,черный",22.29.25.000
1127,подставкадляканцелярскихмелочейattacheавангард5отделенийчерный,22.29.25.000
1128,"книгаучетадвижениятрудовыхкнижекивкладышейкним,48л.,а4,210х290мм,картон,офсет",17.23.13.110
1129,"маркерыстираемыедлябелойдоскинабор4цвета,brauberg""classic"",3мм,склипом,152117",32.99.12.120
1130,"степлерkw-trioмощный№23/6-23/13,на100листов,серый/черный",25.99.22.130
1131,краскаштемпельнаяattacheчернаянаводнойоснове50г,20.30.11.120
1132,калькуляторнастольныйполноразмерныйcitizenbusinesslinecdb1601-bk16-разрядныйчерный,28.23.12.110
1133,клей-карандашerichkrause15г,20.52.10.190
1134,"блокнота5(146х205мм),80л.,гребень,картон,жесткаяподложка,клетка,brauberg,«стильный»,129818",17.23.13.191
1135,"ручкагелеваяcrown«hi-jell»цветчернилзеленый,цветкорпусапрозрачный",32.99.12.110
1136,штампсамонаборныйcolopprinterc20-setпластиковый4строки,32.99.16.120
1137,"блоксамоклеящийся(стикеры)brauberg,пастельный,76?76мм,100листов,желтый",17.23.13.199
1138,"разделителилистов(полосы230х105мм)картонные,комплект100штук,голубые,brauberg,223973",22.29.25.000
1139,"ручкагелеваяcrown«hi-jell»цветчернилкрасный,цветкорпусапрозрачный",32.99.12.110
1140,"скобыдлястеплера№23/8,1000штук,brauberg,от10до40листов",25.99.23.000
1141,"коробархивныйнакнопкеattache70ммпластик,синий",22.29.25.000
1142,"ручкашариковаяworkmateцветчернилсиний,цветкорпусапрозрачный",32.99.12.110
1143,"ручкашариковаяbic""orange"",корпусоранжевый,узел0,8мм,линияписьма0,3мм,синяя",32.99.12.110
1144,ручкашариковаяодноразоваястаммсиняя,32.99.12.110
1145,"блоксамоклеящийся(стикеры)brauberg,пастельный,76х76мм,100листовголубой",17.23.13.199
1146,"маркерперманентныйcrownдвусторонний""multimarkertwin"",черный,скошенныйнаконечник,2мм/1мм,p-800w",32.99.12.120
1147,"маркервыделительтекстаcc2118sжелтый1-3,9мм.",32.99.12.120
1148,"клейкаялентаканцелярская12ммх33мbrauberg,комплект12шт.,прозрачная",22.29.21.000
1149,"журналрегистрациивводногоинструктажа,32л.,сшивка,плобма,обложкапвх",17.23.13.110
1150,"резаксабельныйbraubergts312saber,на12л,длинареза460мм,металлическоеоснование,a3,531801",16.21.12.111
1151,"пленкадляламинированияofficekit,216х303,а4,200мкм,глянцевая,100шт/уп",22.21.42.120
1152,"линейкапластиковая30см,стамм,непрозрачная,черная",26.51.33.141
1153,braubergблокпастельныйсамоклеящийсяцветсветло-зеленый76х76мм100листов,17.23.13.199
1154,"дыроколlamark40л.,металлический,черный,слинейкой",25.99.22.130
1155,скрепки-шинаdurable2901-02на60листовбелаягермания,25.99.23.000
1156,зажимыдлябумагsponsor41ммчерные12шт,25.99.23.000
1157,"пленкадляламинированияofficekit,303х426,а3,125мкм,глянцевая,100шт/уп",22.21.42.120
1158,"скобыдлястеплераbrauberg,№23/10,1000штук,до50листов",25.99.23.000
1159,зажимыдлябумагworkmate51ммчерные12шт,25.99.23.000
1160,"обложкидляпереплетаbrauberg,комплект100шт.,а4,пластик200мкм,прозрачно-зеленые",22.29.25.000
1161,дыроколkw-trio954особомощныйдо150л.на4отверстия,25.99.22.130
1162,"пружиныдляпереплетаofficekitпластиковые6мм,красный,100шт/уп",22.29.25.000
1163,специальнаяоценкаусловийтруда,71.20.19.130
1164,физическаяохрана,84.24.19.000
1165,"оказаниеобразовательныхуслугпопрограммампрофессиональнойпереподготовки«системныйаналитик»,«разработчикpython»ипопрограммеповышенияквалификацииспециалистов,работающихвобластиобеспечениябезопасностизначимыхобъектовкритическойинформационнойинфраструктуры",85.42.19.900
1166,оказаниеобразовательныхуслугпопрограммамповышенияквалификациивобластиинформационныхтехнологийиуправленияпроектами,85.42.19.900
1167,физическаяохрана,84.24.19.000
1168,"оказаниеуслугпоразработкецифровыхпрофилейролейнаправленияцентраобработкиданных,содержащихтребованиякпрофессиональнойквалификации",74.90.20.149
1169,"услугипогрузочно-разгрузочные,услугитакелажные",52.24.19.110
1170,экрандлякассетногокондиционера,28.25.12.130
1171,экрандлянастенногокондиционера,26.70.17.150
1172,защитныйэкрандлявентиляционнойрешетки,22.29.26.119
1173,экрандлякассетногокондиционера,28.25.12.130
1174,санитарноесодержаниепомещений,81.21.10.000
1175,"оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификации""программированиенаязыкеpython""",85.31.11.000
1176,физическаяохрана,84.24.19.000
1177,оказаниекомплекснойуслугипогрузоперевозке,49.41.20.000
1178,оказаниеобразовательныхуслугпоадминистрированиюasralinuxибазданных,69.20.21.000
1179,оказаниеплатныхобразовательныхуслугвсфередополнительногопрофессиональногообразования,85.42.19.900
1180,перчатких/б10класслюксспвхволна,14.12.30.150
1181,"перчаткиполушерстяныедвойные,черные,р-р10",22.19.60.119
1182,шапка-ушанка«капитан»размер56,14.19.43.113
1183,"костюмзимнийсиберсопп/к,т.серый/красный/размер88-92/182-188",14.12.30.190
1184,полуботинкитрейлзомермпсперфотв.(сандалеты)размер43,15.20.32.122
1185,халатлаборантразмер104-108/170-176черный,14.12.30.190
1186,костюмотхимическихвоздействийл-1серыйрост2,14.12.30.160
1187,"костюмвиват-1премиумбрюки,серый/черный/красный/размер104-108/182-188",14.12.30.190
1188,полуботинкитрейлзомермпсперфотв.(сандалеты)размер41,15.20.32.122
1189,халатлаборантразмер104-108/182-188черный,14.12.30.130
1190,полуботинкитрейлзомермпсперфотв.(сандалеты)размер44,15.20.32.122
1191,"костюмзимнийсиберсопп/к,т.серый/красный/размер112-116/182-188",14.12.30.190
1192,"полуботинкитрейлзомермпсперфотв.(сандалеты)размер46,цвет-черный",15.20.13.110
1193,ботинкитрейлфризмпшшерстяноймехразмер42,15.20.31.000
1194,шапка-ушанка«капитан»размер59,14.19.43.113
1195,"полуботинкифорвелдплюс1кпразмер43,цвет-черный.",15.20.13.110
1196,халатлаборантразмер120-124/182-188черный,14.12.30.130
1197,"костюмзимнийсиберсопп/к,т.серый/красный/размер96-100/170-176",14.12.30.190
1198,очкиоткрытыеuvex™феосванспокрытиемотцарапинизапотевания,32.50.42.120
1199,ботинкитрейлфризмпшшерстяноймехразмер43,15.20.31.000
1200,полуботинкифорвелдплюс1кпразмер44,15.20.13.110
1201,"костюмвиват-1премиумбрюки,серый/черный/красный/размер96-100/182-188",14.12.30.190
1202,шапка-ушанка«капитан»размер58,14.19.43.113
1203,"костюмвиват-1премиумбрюки,серый/черный/красный/размер88-92/182-188",14.12.30.190
1204,"костюмзимнийсиберсопп/к,т.серый/красный/размер96-100/182-188",14.12.30.190
1205,халатлаборантразмер96-100/170-176черный,14.12.30.160
1206,"костюмвиват-1премиумбрюки,серый/черный/красный/размер112-116/182-188",14.12.30.190
1207,фильтрпротивогазовыйunix522а2в2е2(2шт.),32.99.11.110
1208,полумаскаunix1000(тпэ)размер3,32.99.11.120
1209,держательпредфильтраunix(2шт.),32.50.50.190
1210,"полуботинкифорвелдплюс1кп,размер42,цвет-черный",15.20.13.110
1211,ботинкитрейлфризмпшшерстяноймехразмер40,15.20.31.000
1212,ботинкитрейлфризмпшшерстяноймехразмер44,15.20.31.000
1213,предфильтрunixр2противоаэрозольный(2шт.),14.12.30.190
1214,полуботинкифорвелдплюс1кпразмер40,15.20.31.000
1215,"костюмвиват-1премиумбрюки,серый/черный/красный/размер96-100/170-176",14.12.30.190
1216,"костюмотхимическихвоздействийл-1серыйрост3,182до188см",14.12.30.160
1217,оказаниеуслугпоразработкематрицыкомпетенцийцифровыхпрофилейролейфункциональногонаправленияцентраобработкиданных,63.11.11.000
1218,клавиатураlogitechk120,26.20.16.110
1219,оказаниекомплекснойуслугипогрузоперевозке,49.41.20.000
1220,услугипоустановкеинастройкеоборудованиясистемыконтроляиуправлениядоступом,84.25.11.120
1221,губкидлямытьяпосудыторус95*65*30макси,25.99.12.112
1222,"туалетнаябумага2сл.proffcomfort170м100%целлюлоза,сперфорацией",17.22.11.110
1223,салфеткибумажныебарные24*24см,17.22.11.130
1224,средстводлямытьяпосудыgrassvellyneutral1000мл,20.41.32.111
1225,стаканодноразовыйпластиковый200мл,22.29.23.110
1226,полотенцабумажныеveiroprofessionalcomfort2сл.150мбелыйвтулка38мм,17.22.11.130
1227,оказаниеуслугпоразработкематрицыкомпетенцийцифровыхпрофилейролейфункциональногонаправленияцентраобработкиданных,63.11.11.000
1228,"оказаниеобразовательныхуслугподополнительнымпрофессиональнымпрограммамповышенияквалификации«информационныесистемыипрограммирование""",85.42.19.900
1229,обучениепопрограммамдополнительногопрофессиональногообразованияпоприменениюлучшихпрактикуправленияинформационнымитехнологиямиибизнес-процессами,85.42.19.900
1230,"бумагадляофиснойтехникиiqallroundа4,80г/м2,500л.,162%",17.12.14.129
1231,пультоваяохранаитехническоеобслуживаниекомплексатехническихсредствохраны,80.20.10.000
1232,"пакеты""майка"",100шт.,24+12х45см,пнд,8мкм",13.92.21.120
1233,"стрейч-пленкадляручнойупаковки50смх169м,20мкм,1,55кг—нетто,первичноесырье,растяжение300%",22.21.41.120
1234,"коробcкрышкой,гофрокартон,445x270х335мм,fellowesbankersbox""basic""",17.21.13.000
1235,огнетушительпорошковыйоп-25(з)-авсе,28.29.22.110
1236,сетевойадаптерusb3.0/gigabitethernet(артикулue306),26.12.20.000
1237,салфеткибумажныебарные24*24см,17.22.11.130
1238,полотенцабумажныеveiroprofessionalcomfort2сл.150мбелыйвтулка38мм,17.22.11.130
1239,губкидлямытьяпосудыторус95*65*30макси,25.99.12.112
1240,"туалетнаябумага2сл.proffcomfort170м100%целлюлоза,сперфорацией",17.22.11.110
1241,стаканодноразовыйпластиковый200мл,22.29.23.110
1242,средстводлямытьяпосудыgrassvellyneutral1000мл,20.41.32.111
1243,"оказаниеуслугпоразработкецифровыхпрофилейролейдляподразделениятехническиерешения,содержащихтребованиякпрофессиональнойквалификации",85.42.19.900
1244,"выполнениеработпомонтажу,пуско-наладочнымработам,подключениюнапультсистемытревожнойсигнализации",43.21.10.140
1245,кабельhdmiwizec-hm-hm-1.8m(артикулc-hm-hm-1.8m),26.20.17.120
1246,кабельhdmiwizec-hm-hm-10m(артикулc-hm-hm-10m),26.20.17.120
1247,оказаниеуслугпоразработкематрицыкомпетенцийцифровыхпрофилейролейдляфункциональногонаправлениятехническиерешения,74.90.20.149
1248,средстводлямытьяпосудыgrassvellyneutral1000мл,20.41.32.111
1249,губкидлямытьяпосудыторус95*65*30макси,25.99.12.112
1250,"туалетнаябумага2сл.proffcomfort170м100%целлюлоза,сперфорацией",17.22.11.110
1251,салфеткибумажныебарные24*24см,17.22.11.130
1252,полотенцабумажныеveiroprofessionalcomfort2сл.150мбелыйвтулка38мм,17.22.11.130
1253,стаканодноразовыйпластиковый200мл,22.29.23.110
1254,услугипопредоставлениюдоступакпрограммномупродукту,63.11.11.000
1255,предоставлениеправнаиспользованиебазыданных«интерактивноевидео»,58.29.50.000
1256,"батарейкаалкалиноваяduracellultrapoweraaa1,5в12шт.",27.20.11.000
1257,батарейкаалкалиноваяduracellbasic6lr619в1шт.,27.20.11.000
1258,"батарейкаалкалиноваяduracellultraaalr06,15а1,5в12шт.",27.20.11.000
1259,механизмкачаниятоп-ган(150*220/230),25.72.14.130
1260,мебельptаргоколесныеопорыр703(4шт)дляа-401,25.72.14.130
1261,подлокотникт-образнойформыдлякреслаchairman610lt,31.01.11.150
1262,"опорадвухколеснаясплощадкой,d50мм,безстопора",25.72.14.130
1263,оказаниеобразовательныхуслугподополнительнойпрофессиональнойпрограмме(программеповышенияквалификации)вобластиработысязыкамипрограммирования,85.23.11.000
1264,оказаниеобразовательныхуслугподополнительнойпрофессиональнойпрограмме(программеповышенияквалификации)вобластиработысязыкамипрограммирования,85.23.11.000
1265,оказаниеобразовательныхуслугподополнительнойпрофессиональнойпрограмме(программеповышенияквалификации)вобластиработысязыкамипрограммирования,85.23.11.000
1266,услугипоустановкеинастройкеоборудованиясистемыохранноготелевиденияиохраннойсигнализации,80.20.10.000
1267,оказаниеуслугпопредоставлениювозможностисвязатьсяссоискателями,63.12.10.000
1268,"обучениепопрограммедополнительногопрофессиональногообразованияповышенияквалификации""основыработывоперационнойсистемеlinux""",85.31.11.000
1269,"обучениепопрограммедополнительногопрофессиональногообразованияповышенияквалификации""расширенноеадминистрированиеосastralinuxspecialedition""",58.29.11.000
1270,"обучениепопрограммедополнительногопрофессиональногообразованияповышенияквалификации""администрированиеосastralinuxspecialedition""",58.29.11.000
1271,"обучениепопрограммедополнительногопрофессиональногообразованияповышенияквалификации""системауправленияинформационнойбезопасностью""",85.42.19.900
1272,"оказаниеуслугипообучениюподополнительнойобщеобразовательнойпрограмме""программированиенаязыкеpython.продвинутыйуровень""",58.29.14.000
1273,обучениепокурсу«мастерскаяпроектированияит-решений»онлайн,85.42.19.900
1274,"обучениепокурсу«моделирование,анализиоптимизациябизнес-процессов»онлайн",85.23.11.000
1275,обучениепокурсу«практикиархитектурыпредприятия»онлайн,85.42.19.900
1276,обучениепокурсу«системныйанализ»онлайн,82.99.19.000
1277,обучениепокурсу«itil®4.совместноесозданиеценностииорганизациявзаимодействияпоставщиковипотребителей»,85.41.93.000
1278,предоставлениеонлайндоступакбазеданных«деловаябиблиотекаальпинадиджитал»,58.29.50.000
1279,пультоваяохранаитехническоеобслуживаниекомплексатехническихсредствохраны,80.20.10.000
1280,"водапитьевая""королевскаявода""19л",11.07.11.120
1281,"водапитьевая""мия""0,33л",11.07.11.121
1282,физическаяохрана,84.24.19.000
1283,физическаяохрана,84.24.19.000
1284,физическаяохрана,84.24.19.000
1285,канализационнаяустановкаsfasaniproxr(400вт),27.40.33.130
1286,канализационнаяустановкаsfasanidouche(250вт),27.40.33.130
1287,"услугипогрузочно-разгрузочные,услугитакелажные",52.24.19.110
1288,"сейфмебельныйсейфaikotm-63тelмебельный,электр.замок",25.99.21.110
1289,сейфaikotm-63t,25.99.21.110
1290,сейфмебельныйvalbergasm-30el(электронныйзамок),25.99.21.110
1291,"сейфмебельныйсейфaikotm-120тelмебельный,электр.замок",25.99.21.110
1292,сейфмебельныйvalbergasm-90telстрейзером(электронныйзамок),25.99.21.110
1293,"сейфофисныйvalberg""asm-63tel"",630х440х355мм,электронныйзамок,трейзер",25.99.21.110
1294,"сейфмебельныйсейфaikotm-90тмебельный,ключ.замок",25.99.21.110
1295,"сейфмебельныйсейфaikotm-30elмебельный,электр.замок",25.99.21.110
1296,"сейфмебельныйсейфaikotm-90тelмебельный,электр.замок",25.99.21.110
1297,физическаяохрана,84.24.19.000
1298,"обучениепопрограмме""java.уровень1.языкпрограммированияjava""",58.29.14.000
1299,"обучениепопрограмме""практикум""эффективноесобеседование:методыипроцедурыоценкикандидатанаконкретнуюдолжность""",85.42.19.900
1300,"обучениепопрограмме""подготовкакаттестации«1с:специалист»поплатформе«1с:предприятие8.3»",62.02.30.000
1301,"обучениепопрограмме""анализданныхнаязыкеsql.уровень2""",62.01.29.000
1302,"обучениепопрограмме""анализданныхнаязыкеsql""",62.01.29.000
1303,"обучениепопрограмме""особенностирегулированиятрудадистанционныхработников:новоевзаконодательствес2022года""",85.42.19.900
1304,"обучениепопрограмме""практикумпокарьерномуконсультированиюдляhrовикоучей""",32.99.53.130
1305,"обучениепопрограмме""практикаразработкитребованийкпо""",85.42.19.900
1306,"обучениепопрограмме""программистjava(javase13.уровень1.основыпрограммирования.javase13.уровень2.разработкаклиент-серверныхприложений)""",32.50.22.129
1307,"обучениепопрограмме""ведениебухгалтерскогоучетагосударственных(муниципальных)учрежденийсприменениемпрограммы""1с:бухгалтериягосударственногоучреждения8"".редакция2.0""",62.02.10.000
1308,"обучениепопрограмме""аккредитованныйкурсpmi®поподготовкексертифицированномуэкзаменунастатусprojectmanagementprofessional(pmp®)»",85.42.19.900
1309,"доскамагнитно-маркернаяповоротная100х150(al.проф.,стапь-корея)по-15ф",32.99.53.130
1310,"доскамагнитно-меловая50x70смattachewoodлак(черная),деревяннаякоричневаярама",32.99.53.130
1311,доскапробковая60х90алюмин.рамаattache,31.01.12.190
1312,доскамагнитно-маркерная100x180смлаковоепокрытиеattacheclassic,32.99.53.130
1313,доскапробковая90х120алюмин.рамаattache,31.01.12.190
1314,доскамагнитно-маркерная120х180attacheeconomyслаковымпокрытием,32.99.53.130
1315,доскапробковая45х60смattacheeconomyclassicдеревяннаярамка,31.01.12.190
1316,доскамагнитно-маркерная100x150смодносекционнаялаковоепокрытиеаллюминиеваярамаattacheclassic,32.99.53.130
1317,доскапробковая100х150алюмин.рамаattache,31.01.12.190
1318,оказанияуслугпоповерке(калибровке)средствизмерений,71.12.40.129
1319,"программаповышенияквалификации""техническаязащитаинформации.организациязащитыинформацииограниченногодоступа,несодержащейсведения,составляющиегосударственнуютайну""",85.42.19.900
1320,"обучениеоппрограмме""программирование1с:снулякпрофессионалу""",62.02.20.130
1321,"обучениепопрограмме""специалистпомеждународнымстандартамбухгалтерскогоучетаифинансовойотчетности""",69.20.10.000
1322,"обучениепопрограмме""руководителькомандытестирования(qa-lead)""",85.31.11.000
1323,цилиндровыймеханизмapecssc-70-ni(sc-70-z-ni),25.72.13.120
1324,"саморезспотайнойголовкойподкрест,3.5х16",25.72.14.130
1325,клеммыwago221-415срычажком,27.33.13.120
1326,адаптермагнитныйцельнометаллическийдлябит60ммbiber84950,32.50.13.190
1327,розеткаschneiderelectric.(ра16-044в),27.33.13.110
1328,сверлопометаллуmakitad-09743hss6х93мм,25.73.40.111
1329,"клеммасоединительнаяwago222-4122-хпроводная0,08-2,5мм",27.33.13.120
1330,клемма222-413,27.33.13.120
1331,"саморезызубруниверсальныефосфатированныеподереву,3,5х25мм,упаковка-600шт",25.94.11.110
1332,саморезшсммпрессшайба4.2х25,25.94.11.120
1333,сверлопометаллуdexterpro113-014073х61мм,25.73.40.110
1334,"клинмонтажный,91x43x15мм,2шт.",24.20.14.110
1335,"саморезыft-3,5х32подереву(крупныйшаг)",26.30.50.129
1336,цилиндровыймеханизмapecssc-60-ni(sc-60-z-ni),25.72.13.120
1337,ограничительоконныйдляпвхметаллцветбелый,22.23.14.120
1338,органайзерvolf39x29.5x11см,22.29.25.000
1339,шайбаdin9021кузовнаяоцинкованнаям8,25.94.12.110
1340,"саморезподереву3,5*41частаярезьба",25.93.14.119
1341,наборзубрнапильники№2200,25.73.30.233
1342,цилиндровыймеханизмapecssm-80-ni,25.72.14.120
1343,"саморез4,2х19мм",25.94.11.120
1344,механизмзамкаapecsцилиндрическийsc-70(30/40)-z-ni,25.72.11.110
1345,шайбакузовнаяоцинкованнаяdin9021м6,25.94.12.110
1346,клеммаwago2273-244100шт,27.33.13.120
1347,наборнадфилейmatrix15832(10шт.),25.73.30.120
1348,"ящикдляинструментоворганайзерcomfort7,5(br3770)",31.09.11.190
1349,"лентаvellvl-fx241(brothertze-fx241,18мм,черныйнабелом)дляptd450/d600/e300/2700/(артикулvl-fx241)",22.29.21.000
1350,"блокрозетокhyperlineдля19""шкафов,горизонтальный,8розетокschuko,выкл.сподсветкой,вх.разъемiec320c1410а,250в,каб.пит.с13-с143м(3х1.0мм2)свилкойiec320c14вкомпл.,482.6x116.0x44.4мм(шхгхв),корпусалюминий,черный(артикулsht19-8sh-s-iec)",27.33.13.190
1351,"самоламинирующиесянаклейкиhyperline[wmbl-25x33-a4l-wh](1лист,64наклейки)белый",13.96.17.129
1352,"пломбапластиковаяконтрольная,одноразоваяоса330",22.29.29.121
1353,"лентаvellvl-fx221(brothertze-fx221,9мм,черныйнабелом)дляpt1010/1280/d200/h105/e100/d600/e300/2700/p700/e550(артикулvl-fx221)",32.50.13.190
1354,"блокраспределенияпитанияlanmaster,гор.размещ.8xschukoбазовые10ac14,1.8м(артикулlan-ep19-8p/s-1.8m)",26.20.40.110
1355,"картриджdymoсполиэстеровойлентой,9ммx5.5м,спостоянымклеем,черныйшрифт/белаялента(артикул18482)",22.29.21.000
1356,сетевойфильтрapcessentialsurgearrest(артикулpm6u-rs),27.33.13.190
1357,"биркакабельная""у-134""(б.квадрат),белая(100шт/уп.)rexant(07-6234)",32.50.50.190
1358,чайникэлектрическийboschtwk3a0132400вт1.7лчерный,27.51.24.110
1359,печьмикроволноваяpolarispmo2303dgrus1400ваттчерная,27.51.27.000
1360,термопотteslertp-5055black(1200вт),27.51.24.190
1361,delonghimagnificaecam22.110.bкофемашина,27.51.24.120
1362,конференц-креслоrivachair6001-3e570х600х890черный,31.01.12.160
1363,"конференц-столик350х260,длястулаизочёрный,пластиковый",31.01.11.150
1364,креслоофисноеметтаsu-bk131-8тканьчерное,31.01.12.160
1365,услугипопредоставлениедоступакинформационномуресурсуспарк(5доступов),63.12.10.000
1366,предоставлениедоступакинформационномуресурсуспарк(7доступов),63.12.10.000
1367,обучениепокурсу«микросервиснаяархитектура»онлайн,85.42.19.900
1368,обучениепокурсу«itil®4.совместноесозданиеценностииорганизациявзаимодействияпоставщиковипотребителей»онлайн,85.41.99.900
1369,услугипопредоставлениюдоступакплатформедляонлайнтестированияиоценкекандидатовисотрудниковproaction,63.99.10.190
1370,предоставлениеправнаиспользованиебазыданных«интерактивноевидео»,58.29.50.000
1371,услугипопредоставлениюдоступакпрограммномупродукту,63.11.11.000
1372,"повышениеквалификациипопрограммеvd001q""devopsиконтейнернаявиртуализация:использованиеdocker""",85.41.99.900
1373,услугипопредоставлениюдоступакплатформедляонлайнтестированияиоценкекандидатовисотрудниковproaction,63.99.10.190
1374,"обучениепопрограммеповышенияквалификации""основыбухучетадляруководителей,менеджеровитехническихспециалистов""",85.42.19.900
1375,"обучениепопрограммеповышенияквалификации""бюджетированиерасходовнаперсонал:пошаговыйалгоритмсоставления""",85.42.19.900
1376,"обучениепопрограммеповышенияквалификации""обучениепопрограммеповышенияквалификации""эффективноелидерство""",85.21.12.000
1377,"обучениепопрограммеповышенияквалификации""управлениеитпродуктом(itproductmanagement)""",85.42.19.900
1378,"обучениепопрограммеповышенияквалификации""мнемотехникаиэйдетика""",85.21.12.000
1379,"обучениепопрограммеповышенияквалификации""тайм-менеджмент—организациявремени""",85.42.19.900
1380,"обучениепопрограммеповышенияквалификации""обучениеproductowner(владельцапродукта).каксоздатьипродвигатьуспешныеit-продукты""",85.21.12.000
1381,"обучениепопрограммеповышенияквалификации""стресс-менеджмент""",85.42.19.900
1382,"обучениепопрограммеповышенияквалификации""инфографика.уровень1""",85.21.12.000
1383,"обучениепопрограммеповышенияквалификации""тренингличнойэффективности""",85.42.19.900
1384,"обучениепопрограммеповышенияквалификации""жесткиепереговоры""",85.42.19.900
1385,"обучениепопрограммеповышенияквалификации""тестированиенапроникновениехакераианализбезопасности""",85.42.19.900
1386,"обучениепопрограммеповышенияквалификации""противодействиехакерскиматакам:защита,предсказание,распознавание,ответ""",85.42.19.900
1387,"обучениепопрограммеповышенияквалификации""расследованиехакерскихинцидентов.основыфорензики""",85.42.19.900
1388,"обучениепопрограмме""программированиенаязыкеgo.уровень1.основыязыкаgo""",58.29.14.000
1389,"обучениепопрограммеповышенияквалификации""dasa:практикdevopsпоорганизацииработыкомандыподготовкакэкзаменуdasadevopsprofessional.уровень2""",85.41.99.900
1390,"обучениепопрограммеповышенияквалификации""dasa:devops–базовыйуровень""",85.42.19.900
1391,"обучениепопрограммеповышенияквалификации""javascript.уровень7.reduxиreact-router""",85.42.19.900
